"","Season","Team","Round.Number","Season.Points","Score.For","Score.Against","Percentage","Ladder.Position"
"162",2017,"Brisbane Lions",9,4,698,1093,0.638609332113449,18
"163",2017,"Adelaide",10,32,1241,856,1.44976635514019,1
"164",2017,"GWS",10,32,1015,861,1.17886178861789,2
"165",2017,"Geelong",10,28,1068,918,1.16339869281046,3
"166",2017,"Footscray",10,24,879,811,1.08384710234279,4
"167",2017,"Richmond",10,24,879,812,1.08251231527094,5
"168",2017,"West Coast",10,24,906,889,1.01912260967379,6
"169",2017,"Fremantle",10,24,770,945,0.814814814814815,7
"170",2017,"Port Adelaide",10,20,982,680,1.44411764705882,8
"171",2017,"Melbourne",10,20,1004,899,1.11679644048943,9
"172",2017,"St Kilda",10,20,892,907,0.983461962513782,10
"173",2017,"Essendon",10,20,911,933,0.976420150053591,11
"174",2017,"Collingwood",10,16,864,862,1.00232018561485,12
"175",2017,"North Melbourne",10,16,966,999,0.966966966966967,13
"176",2017,"Hawthorn",10,16,821,1038,0.790944123314065,14
"177",2017,"Sydney",10,12,902,901,1.00110987791343,15
"178",2017,"Gold Coast",10,12,830,984,0.84349593495935,16
"179",2017,"Carlton",10,12,728,923,0.788732394366197,17
"180",2017,"Brisbane Lions",10,4,782,1222,0.639934533551555,18
"181",2017,"GWS",11,36,1132,962,1.17671517671518,1
"182",2017,"Adelaide",11,32,1315,952,1.3813025210084,2
"183",2017,"Geelong",11,32,1164,992,1.17338709677419,3
"184",2017,"Richmond",11,28,980,878,1.11617312072893,4
"185",2017,"Port Adelaide",11,24,1080,727,1.48555708390646,5
"186",2017,"Footscray",11,24,879,811,1.08384710234279,6
"187",2017,"West Coast",11,24,983,969,1.01444788441692,7
"188",2017,"Fremantle",11,24,855,1050,0.814285714285714,8
"189",2017,"Melbourne",11,20,1004,899,1.11679644048943,9
"190",2017,"Collingwood",11,20,969,947,1.02323125659979,10
"191",2017,"St Kilda",11,20,892,907,0.983461962513782,11
"192",2017,"Essendon",11,20,1012,1050,0.963809523809524,12
"193",2017,"North Melbourne",11,16,1032,1100,0.938181818181818,13
"194",2017,"Gold Coast",11,16,910,1061,0.857681432610745,14
"195",2017,"Hawthorn",11,16,868,1136,0.764084507042254,15
"196",2017,"Sydney",11,12,902,901,1.00110987791343,16
"197",2017,"Carlton",11,12,728,923,0.788732394366197,17
"198",2017,"Brisbane Lions",11,4,782,1222,0.639934533551555,18
"199",2017,"Adelaide",12,36,1426,1006,1.41749502982107,1
"200",2017,"GWS",12,36,1202,1033,1.16360116166505,2
"201",2017,"Geelong",12,32,1164,992,1.17338709677419,3
"202",2017,"Richmond",12,28,980,878,1.11617312072893,4
"203",2017,"Port Adelaide",12,24,1141,858,1.32983682983683,5
"204",2017,"Melbourne",12,24,1108,999,1.10910910910911,6
"205",2017,"Essendon",12,24,1143,1111,1.02880288028803,7
"206",2017,"Footscray",12,24,921,899,1.02447163515017,8
"207",2017,"West Coast",12,24,983,969,1.01444788441692,9
"208",2017,"Fremantle",12,24,919,1171,0.784799316823228,10
"209",2017,"Collingwood",12,20,1069,1051,1.01712654614653,11
"210",2017,"St Kilda",12,20,946,1018,0.929273084479371,12
"211",2017,"Gold Coast",12,20,1005,1140,0.881578947368421,13
"212",2017,"Sydney",12,16,990,943,1.04984093319194,14
"213",2017,"North Melbourne",12,16,1032,1100,0.938181818181818,15
"214",2017,"Carlton",12,16,799,993,0.804632426988922,16
"215",2017,"Hawthorn",12,16,947,1231,0.769293257514216,17
"216",2017,"Brisbane Lions",12,8,903,1286,0.702177293934681,18
"217",2017,"Adelaide",13,36,1426,1006,1.41749502982107,1
"218",2017,"GWS",13,36,1202,1033,1.16360116166505,2
"219",2017,"Geelong",13,32,1234,1075,1.14790697674419,3
"220",2017,"Port Adelaide",13,28,1262,939,1.34398296059638,4
"221",2017,"Melbourne",13,28,1221,1055,1.15734597156398,5
"222",2017,"Richmond",13,28,1051,958,1.09707724425887,6
"223",2017,"West Coast",13,28,1066,1039,1.02598652550529,7
"224",2017,"Essendon",13,24,1143,1111,1.02880288028803,8
"225",2017,"Footscray",13,24,977,1012,0.965415019762846,9
"226",2017,"St Kilda",13,24,1035,1090,0.94954128440367,10
"227",2017,"Fremantle",13,24,919,1171,0.784799316823228,11
"228",2017,"Sydney",13,20,1070,1014,1.05522682445759,12
"229",2017,"Collingwood",13,20,1069,1051,1.01712654614653,13
"230",2017,"Gold Coast",13,20,1078,1223,0.881439084219133,14
"231",2017,"Carlton",13,20,882,1066,0.827392120075047,15
"232",2017,"North Melbourne",13,16,1104,1189,0.928511354079058,16
"233",2017,"Hawthorn",13,16,947,1231,0.769293257514216,17
"234",2017,"Brisbane Lions",13,8,984,1407,0.699360341151386,18
"235",2017,"GWS",14,40,1348,1119,1.20464700625559,1
"236",2017,"Adelaide",14,36,1508,1102,1.36842105263158,2
"237",2017,"Geelong",14,36,1308,1147,1.14036617262424,3
"238",2017,"Port Adelaide",14,32,1355,1001,1.35364635364635,4
"239",2017,"Melbourne",14,32,1320,1151,1.14682884448306,5
"240",2017,"Richmond",14,32,1135,1016,1.11712598425197,6
"241",2017,"West Coast",14,28,1162,1138,1.02108963093146,7
"242",2017,"St Kilda",14,28,1138,1162,0.97934595524957,8
"243",2017,"Footscray",14,28,1084,1118,0.9695885509839,9
"244",2017,"Sydney",14,24,1156,1099,1.05186533212011,10
"245",2017,"Essendon",14,24,1228,1197,1.02589807852966,11
"246",2017,"Fremantle",14,24,991,1245,0.795983935742972,12
"247",2017,"Collingwood",14,20,1131,1144,0.988636363636364,13
"248",2017,"Gold Coast",14,20,1150,1326,0.867269984917044,14
"249",2017,"Carlton",14,20,940,1150,0.817391304347826,15
"250",2017,"Hawthorn",14,20,1043,1313,0.794364051789794,16
"251",2017,"North Melbourne",14,16,1210,1296,0.933641975308642,17
"252",2017,"Brisbane Lions",14,8,1070,1553,0.688989053444945,18
"253",2017,"GWS",15,42,1416,1187,1.19292333614153,1
"254",2017,"Adelaide",15,40,1597,1179,1.35453774385072,2
"255",2017,"Geelong",15,38,1376,1215,1.13251028806584,3
"256",2017,"Richmond",15,36,1211,1079,1.12233549582947,4
"257",2017,"Port Adelaide",15,32,1418,1077,1.31662024141133,5
"258",2017,"Melbourne",15,32,1370,1236,1.1084142394822,6
"259",2017,"West Coast",15,32,1249,1218,1.02545155993432,7
"260",2017,"St Kilda",15,32,1227,1242,0.98792270531401,8
"261",2017,"Sydney",15,28,1241,1149,1.08006962576153,9
"262",2017,"Footscray",15,28,1164,1205,0.96597510373444,10
"263",2017,"Essendon",15,24,1310,1287,1.01787101787102,11
"264",2017,"Gold Coast",15,24,1268,1425,0.889824561403509,12
"265",2017,"Hawthorn",15,24,1161,1407,0.825159914712154,13
"266",2017,"Fremantle",15,24,1071,1334,0.802848575712144,14
"267",2017,"Collingwood",15,20,1225,1262,0.97068145800317,15
"268",2017,"Carlton",15,20,1017,1239,0.820823244552058,16
"269",2017,"North Melbourne",15,16,1309,1414,0.925742574257426,17
"270",2017,"Brisbane Lions",15,12,1160,1635,0.709480122324159,18
"271",2017,"Adelaide",16,44,1701,1224,1.38970588235294,1
"272",2017,"GWS",16,44,1513,1284,1.17834890965732,2
"273",2017,"Geelong",16,42,1539,1293,1.19025522041763,3
"274",2017,"Port Adelaide",16,36,1538,1165,1.32017167381974,4
"275",2017,"Melbourne",16,36,1460,1318,1.10773899848255,5
"276",2017,"Richmond",16,36,1282,1217,1.05341002465078,6
"277",2017,"St Kilda",16,36,1365,1313,1.03960396039604,7
"278",2017,"Sydney",16,32,1359,1200,1.1325,8
"279",2017,"West Coast",16,32,1337,1338,0.999252615844544,9
"280",2017,"Essendon",16,28,1427,1367,1.04389173372348,10
"281",2017,"Footscray",16,28,1209,1309,0.923605805958747,11
"282",2017,"Fremantle",16,28,1157,1416,0.817090395480226,12
"283",2017,"Hawthorn",16,26,1258,1504,0.836436170212766,13
"284",2017,"Gold Coast",16,24,1319,1543,0.854828256642903,14
"285",2017,"Collingwood",16,20,1305,1379,0.946337926033358,15
"286",2017,"Carlton",16,20,1099,1329,0.826937547027841,16
"287",2017,"North Melbourne",16,16,1391,1500,0.927333333333333,17
"288",2017,"Brisbane Lions",16,12,1238,1798,0.688542825361513,18
"289",2017,"Adelaide",17,48,1817,1294,1.40417310664606,1
"290",2017,"Geelong",17,46,1627,1378,1.18069666182874,2
"291",2017,"GWS",17,44,1596,1380,1.15652173913043,3
"292",2017,"Port Adelaide",17,40,1665,1222,1.36252045826514,4
"293",2017,"Richmond",17,40,1394,1298,1.07395993836672,5
"294",2017,"Sydney",17,36,1455,1283,1.13406079501169,6
"295",2017,"Melbourne",17,36,1530,1434,1.06694560669456,7
"296",2017,"West Coast",17,36,1411,1382,1.02098408104197,8
"297",2017,"St Kilda",17,36,1422,1431,0.993710691823899,9
"298",2017,"Essendon",17,32,1545,1424,1.08497191011236,10
"299",2017,"Footscray",17,32,1291,1371,0.941648431801605,11
"300",2017,"Fremantle",17,28,1201,1490,0.806040268456376,12
"301",2017,"Hawthorn",17,26,1343,1592,0.843592964824121,13
"302",2017,"Collingwood",17,24,1408,1467,0.959781867757328,14
"303",2017,"Gold Coast",17,24,1407,1646,0.854799513973268,15
"304",2017,"Carlton",17,20,1161,1411,0.822820694542877,16
"305",2017,"North Melbourne",17,16,1448,1627,0.889981561155501,17
"306",2017,"Brisbane Lions",17,12,1319,1910,0.690575916230367,18
"307",2017,"Adelaide",18,52,1908,1364,1.39882697947214,1
"308",2017,"Geelong",18,46,1697,1469,1.15520762423417,2
"309",2017,"GWS",18,44,1641,1444,1.13642659279778,3
"310",2017,"Richmond",18,44,1458,1343,1.08562918838421,4
"311",2017,"Port Adelaide",18,40,1730,1310,1.3206106870229,5
"312",2017,"Sydney",18,40,1556,1342,1.15946348733234,6
"313",2017,"Melbourne",18,40,1618,1499,1.079386257505,7
"314",2017,"Essendon",18,36,1677,1529,1.0967952910399,8
"315",2017,"West Coast",18,36,1496,1475,1.01423728813559,9
"316",2017,"Footscray",18,36,1401,1427,0.981779957953749,10
"317",2017,"St Kilda",18,36,1481,1532,0.966710182767624,11
"318",2017,"Hawthorn",18,30,1443,1640,0.879878048780488,12
"319",2017,"Collingwood",18,28,1501,1552,0.967139175257732,13
"320",2017,"Fremantle",18,28,1249,1590,0.785534591194969,14
"321",2017,"Gold Coast",18,24,1463,1756,0.833143507972665,15
"322",2017,"Carlton",18,20,1243,1523,0.816152330925804,16
"323",2017,"North Melbourne",18,16,1553,1759,0.882888004548039,17
"324",2017,"Brisbane Lions",18,16,1431,1992,0.718373493975904,18
"325",2017,"Adelaide",19,54,2011,1467,1.3708248125426,1
"326",2017,"Geelong",19,50,1820,1527,1.19187950229208,2
"327",2017,"GWS",19,48,1739,1530,1.13660130718954,3
"328",2017,"Richmond",19,48,1556,1408,1.10511363636364,4
"329",2017,"Port Adelaide",19,44,1793,1371,1.30780452224654,5
"330",2017,"Sydney",19,40,1622,1414,1.14710042432815,6
"331",2017,"Melbourne",19,40,1690,1575,1.07301587301587,7
